MTGDATE;Number;69/03-96/12;1969/03-2008/12
11469;1;;
20469;2;;
30469;3;-0,245265492;-0,223772803
40169;4;0,272410901;0,295911045
42969;5;0,132370689;0,183272127
52769;6;0,203939724;0,220609901
62469;7;-0,020204749;0,010051167
71569;8;0,180706548;0,185397706
81269;9;0,309424111;0,302835544
90969;10;0,029007549;0,024633339
100769;11;0,014796691;0,037480193
102869;12;0,072749543;0,09149726
112569;13;-0,005086381;0,022544301
121669;14;0,064686859;0,069642128
11570;15;-0,160187965;-0,124137339
21070;16;-0,359948104;-0,363339851
31070;17;-0,139500946;-0,076660112
40770;18;-0,144678147;-0,106455519
50570;19;0,292953095;0,24281812
52670;20;0,007182452;-0,003235845
62370;21;-0,179523424;-0,159825572
72170;22;-0,242591347;-0,223226168
81870;23;-0,482564852;-0,435887933
91570;24;-0,272409182;-0,249016352
102070;25;-0,008899876;-0,016036969
111770;26;-0,346168273;-0,364248584
121570;27;-0,228955199;-0,246138587
11271;28;-0,681540033;-0,66451497
20971;29;-0,024914804;-0,0836273
30971;30;-0,065340602;-0,080607931
40671;31;0,460579851;0,443111661
51171;32;0,002555225;0,071078846
60871;33;0,245157503;0,292391745
62971;34;0,097806219;0,134824628
72771;35;-0,117032651;-0,109094792
82471;36;;
92171;37;;
101971;38;-0,321616714;-0,290938154
111671;39;-0,341615174;-0,341277152
121471;40;-0,919933078;-0,890867135
11172;41;-0,234178189;-0,306378098
21572;42;-0,085532532;-0,095993653
32172;43;0,251523445;0,223401312
41872;44;-0,104209811;-0,150213508
52372;45;-0,114926071;-0,12833438
62072;46;-0,049854127;-0,102704975
71872;47;;
81572;48;;
91972;49;;
101772;50;;
112172;51;0,035804308;0,007744956
121972;52;-0,026534458;-0,017096493
11673;53;0,279469799;0,26672728
21373;54;0,22536084;0,184907063
32073;55;0,06443821;0,025942578
41773;56;-0,062870984;-0,093808588
51573;57;0,316968398;0,280665086
61973;58;0,409372351;0,348003664
71773;59;0,115145981;0,103104899
82173;60;0,317612336;0,225192026
91873;61;-0,57074652;-0,596863211
101673;62;-0,848026781;-0,855838505
112073;63;-0,094972368;-0,111647848
121873;64;-0,165076596;-0,204608564
12274;65;-0,206405144;-0,208046479
22074;66;0,20120051;0,203504817
31974;67;0,732860238;0,776166857
41674;68;0,386790923;0,394235649
52174;69;0,391730703;0,339540043
61874;70;0,279711177;0,239022938
71674;71;-0,091264056;-0,146928229
82074;72;-0,021514543;-0,040524598
91074;73;-0,429737764;-0,418977719
101574;74;-0,283974709;-0,323819061
111974;75;0,336476071;0,262299131
121774;76;-0,228513035;-0,233106386
12175;77;-0,353862116;-0,36224395
21975;78;0,242914555;0,23599844
31875;79;-0,498506151;-0,421925947
41575;80;-0,63717064;-0,570224
52075;81;0,135583607;0,128330313
61775;82;0,170421746;0,19058909
71575;83;0,0699576;0,035349053
81975;84;-0,13645516;-0,1522199
91675;85;-0,113757039;-0,109042218
102175;86;-0,199738131;-0,209007137
111875;87;-0,281410918;-0,314668629
121675;88;0,280342527;0,198296595
12076;89;-0,090654503;-0,10016246
21876;90;-0,469121453;-0,448021491
31676;91;-0,238927197;-0,256943736
42076;92;0,138867694;0,113991727
51876;93;-0,297638667;-0,249516911
62276;94;-0,037513364;-0,032271519
72076;95;-0,139103032;-0,140171495
81776;96;-0,043825118;-0,056961421
92176;97;0,018862083;-0,010162528
101976;98;-0,0413941;-0,092383024
111676;99;0,030113033;-0,009916615
122176;100;-0,130775229;-0,109666123
11877;101;-0,096514115;-0,138428214
21577;102;-0,08471272;-0,15389557
31577;103;-0,228217994;-0,247879491
41977;104;-0,048979031;-0,105666765
51777;105;-0,050660542;-0,101209198
62177;106;-0,145583704;-0,191146326
71977;107;-0,23964892;-0,269714375
81677;108;0,030461662;-0,006265905
92077;109;0,073246685;0,05278597
101877;110;-0,025861244;-0,042050591
111577;111;-0,048292817;-0,076515443
122077;112;-0,121818971;-0,118633782
11778;113;-0,205460588;-0,214168911
22878;114;0,106016918;0,032724696
32178;115;0,042212119;-0,016846939
41878;116;-0,068913774;-0,101419138
51678;117;-0,215945596;-0,237745671
62078;118;0,243378677;0,166328894
71878;119;-0,142442885;-0,153367264
81578;120;-0,063760798;-0,095797535
91978;121;-0,155583588;-0,169005605
101778;122;0,133367117;0,128524303
112178;123;0,168270098;0,143968123
121978;124;-0,042498838;-0,0568925
20679;125;-0,151838459;-0,192206421
32079;126;0,132936285;0,071830206
41779;127;-0,064314583;-0,097416296
52279;128;0,105398715;0,048928595
71179;129;0,760796682;0,696273035
81479;130;0,321732763;0,371129623
91879;131;-0,224099537;-0,116812387
100679;132;;
112079;133;0,044937951;0,125986481
10980;134;-0,011142425;0,100199228
20580;135;0,196964438;0,292639008
31880;136;1,422218677;1,433147583
42280;137;-3,220882635;-3,281189867
52080;138;-0,763850029;-0,785348936
70980;139;0,403119427;0,418827626
81280;140;-0,198147737;-0,055849296
91680;141;0,770871341;0,862867309
102180;142;1,218139599;1,300835421
111880;143;1,871416916;1,864432391
121980;144;-0,634159913;-0,656760474
20381;145;-0,783484175;-0,750436658
33181;146;0,307378349;0,340492613
51881;147;1,514907827;1,512117453
70781;148;-0,610960625;-0,666659944
81881;149;-0,040543091;-0,085717558
100681;150;-0,574393824;-0,528015544
111781;151;-0,355932117;-0,409830613
122281;152;0,100077618;0,108666964
20282;153;1,021145227;0,996667575
33082;154;-0,434757693;-0,403067001
51882;155;-0,055610132;-0,121563729
70182;156;-0,196263006;-0,202010692
82482;157;-0,211245404;-0,254878692
100582;158;-0,242448323;-0,269162622
111682;159;0,124723724;0,06569796
122182;160;0,650729527;0,623552515
20983;161;0,184811932;0,196077714
32983;162;0,144825631;0,123858319
52483;163;-0,018749408;-0,002138867
71383;164;-0,007849593;0,041224204
82383;165;-0,234486163;-0,234844008
100483;166;0,281518879;0,189561317
111583;167;-0,172426008;-0,160035353
122083;168;0,216897614;0,16926611
13184;169;0,257436466;0,192668683
32784;170;-0,100988036;-0,072586213
52284;171;0,173243272;0,095384589
