series_id,year,period,employed_thousands,month,date,series_title,routine_share
LNU02032201,1983,M01,28533.0,1,1983-01-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M01,15243.0,1,1983-01-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M01,27084.0,1,1983-01-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M01,10774.0,1,1983-01-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M01,15706.0,1,1983-01-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M02,28580.0,2,1983-02-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M02,15341.0,2,1983-02-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M02,26754.0,2,1983-02-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M02,10774.0,2,1983-02-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M02,15781.0,2,1983-02-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M03,28692.0,3,1983-03-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M03,15349.0,3,1983-03-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M03,27229.0,3,1983-03-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M03,10859.0,3,1983-03-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M03,15936.0,3,1983-03-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M04,29125.0,4,1983-04-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M04,15464.0,4,1983-04-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M04,27212.0,4,1983-04-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M04,11011.0,4,1983-04-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M04,16109.0,4,1983-04-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M05,29193.0,5,1983-05-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M05,15832.0,5,1983-05-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M05,27346.0,5,1983-05-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M05,11150.0,5,1983-05-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M05,16366.0,5,1983-05-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M06,29071.0,6,1983-06-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M06,16579.0,6,1983-06-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M06,27822.0,6,1983-06-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M06,11830.0,6,1983-06-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M06,16995.0,6,1983-06-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M07,29308.0,7,1983-07-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M07,16786.0,7,1983-07-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M07,28311.0,7,1983-07-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M07,12151.0,7,1983-07-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M07,17166.0,7,1983-07-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M08,29007.0,8,1983-08-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M08,17047.0,8,1983-08-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M08,28368.0,8,1983-08-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M08,12042.0,8,1983-08-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M08,17116.0,8,1983-08-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M09,29445.0,9,1983-09-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M09,16330.0,9,1983-09-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M09,28205.0,9,1983-09-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M09,11748.0,9,1983-09-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M09,16891.0,9,1983-09-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M10,29548.0,10,1983-10-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M10,16190.0,10,1983-10-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M10,28234.0,10,1983-10-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M10,11801.0,10,1983-10-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M10,17210.0,10,1983-10-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M11,29617.0,11,1983-11-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M11,16259.0,11,1983-11-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M11,28201.0,11,1983-11-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M11,11838.0,11,1983-11-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
LNU02032212,1983,M11,17337.0,11,1983-11-01,"Employment Level - Production, Transportation and Material Moving Occupations",0.92
LNU02032201,1983,M12,29800.0,12,1983-12-01,"Employment Level - Management, Professional, and Related Occupations",0.12
LNU02032204,1983,M12,16048.0,12,1983-12-01,Employment Level - Service Occupations,0.38
LNU02032205,1983,M12,28392.0,12,1983-12-01,Employment Level - Sales and Office Occupations,0.82
LNU02032208,1983,M12,11577.0,12,1983-12-01,"Employment Level - Natural Resources, Construction, and Maintenance Occupations",0.88
